Indicateur :;Superficie cultivée des légumineuses;;;;;;;
;;;;;;;;
Type de légumineuse;;Total;Fève;Petits-poids;Lentilles;Pois-chiches;Orobe;Autres légumineuses
Provinces et préfectures;Périodes;;;;;;;
Ensemble;1971;427;190;70;28;-;22;-
;1972;481,2;259,3;91,4;38,7;-;28,8;-
;1973;552,9;278,4;102;31;-;41;-
;1976;617,5;191,3;133,3;62,5;-;56,5;-
;1977;459,8;190,1;117,3;36,5;-;-;-
Agadir Ida Outanane;1971;-;-;-;-;-;-;-
;1972;-;-;-;-;-;-;-
;1973;-;-;-;-;-;-;-
;1976;-;-;-;-;-;-;-
;1977;-;-;-;-;-;-;-
Ouarzazate;1971;-;-;-;-;-;-;-
;1972;-;-;-;-;-;-;-
;1973;-;-;-;-;-;-;-
;1976;-;-;-;-;-;-;-
;1977;-;-;-;-;-;-;-
Kénitra;1971;-;34;-;-;-;-;-
;1972;-;43,5;-;-;-;-;-
;1973;-;42,7;-;-;-;-;-
;1976;-;18,9;-;-;-;-;-
;1977;-;22,2;-;-;-;-;-
Ben slimane;1971;-;-;-;-;-;-;-
;1972;-;-;-;-;-;-;-
;1973;-;-;-;-;-;-;-
;1976;-;-;-;-;-;-;-
;1977;-;-;-;-;-;-;-
Settat;1971;-;-;28;-;-;-;-
;1972;-;-;36,9;-;-;-;-
;1973;-;-;39,5;-;-;-;-
;1976;-;-;67;-;-;-;-
;1977;-;-;71,1;-;-;-;-
Chichaoua;1971;-;-;-;-;-;-;-
;1972;-;-;-;-;-;-;-
;1973;-;-;-;-;-;-;-
;1976;-;-;-;-;-;-;-
;1977;-;-;-;-;-;-;-
El kelaâ des sraghna;1971;-;-;-;-;-;-;-
;1972;-;-;-;-;-;-;-
;1973;-;-;-;-;-;-;-
;1976;-;-;-;-;-;-;-
;1977;-;-;-;-;-;-;-
Essaouira;1971;-;-;-;-;-;-;-
;1972;-;-;-;-;-;-;-
;1973;-;-;-;-;-;-;-
;1976;-;-;-;-;-;-;-
;1977;-;-;-;-;-;-;-
Marrakech;1971;-;-;-;-;-;-;-
;1972;-;-;-;-;-;-;-
;1973;-;-;-;-;-;-;-
;1976;-;-;-;-;-;-;-
;1977;-;-;-;-;-;-;-
Nador;1971;-;-;-;-;-;-;-
;1972;-;-;-;-;-;-;-
;1973;-;-;-;-;-;-;-
;1976;-;-;-;-;-;-;-
;1977;-;-;-;-;-;-;-
Oujda-angad;1971;-;-;-;-;-;-;-
;1972;-;-;-;-;-;-;-
;1973;-;-;-;-;-;-;-
;1976;-;-;-;-;-;-;-
;1977;-;-;-;-;-;-;-
Casablanca;1971;-;-;-;-;-;-;-
;1972;-;-;-;-;-;-;-
;1973;-;-;-;-;-;-;-
;1976;-;-;-;-;-;-;-
;1977;-;-;-;-;-;-;-
Khémisset;1971;-;-;10;-;-;-;-
;1972;-;-;10,6;-;-;-;-
;1973;-;-;20,7;-;-;-;-
;1976;-;-;15;-;-;-;-
;1977;-;-;5,6;-;-;-;-
Rabat;1971;-;-;-;-;-;-;-
;1972;-;-;-;-;-;-;-
;1973;-;-;-;-;-;-;-
;1976;-;-;-;-;-;-;-
;1977;-;-;-;-;-;-;-
El jadida;1971;-;-;-;-;-;-;-
;1972;-;-;-;-;-;-;-
;1973;-;-;-;-;-;-;-
;1976;-;-;-;-;-;-;-
;1977;-;-;-;-;-;-;-
Safi;1971;-;-;-;-;-;-;-
;1972;-;-;-;-;-;-;-
;1973;-;-;-;-;-;-;-
;1976;-;-;-;-;-;-;-
;1977;-;-;-;-;-;-;-
Azilal;1971;-;-;-;-;-;-;-
;1972;-;-;-;-;-;-;-
;1973;-;-;-;-;-;-;-
;1976;-;-;-;-;-;-;-
;1977;-;-;-;-;-;-;-
Beni mellal;1971;-;-;5,9;-;-;-;-
;1972;-;-;13,1;-;-;-;-
;1973;-;-;5,8;-;-;-;-
;1976;-;-;5,5;-;-;-;-
;1977;-;-;5,2;-;-;-;-
El hajeb;1971;-;-;-;-;-;-;-
;1972;-;-;-;-;-;-;-
;1973;-;-;-;-;-;-;-
;1976;-;-;-;-;-;-;-
;1977;-;-;-;-;-;-;-
Errachidia;1971;-;-;-;-;-;-;-
;1972;-;-;-;-;-;-;-
;1973;-;-;-;-;-;-;-
;1976;-;-;-;-;-;-;-
;1977;-;-;-;-;-;-;-
Ifrane;1971;-;-;-;-;-;-;-
;1972;-;-;-;-;-;-;-
;1973;-;-;-;-;-;-;-
;1976;-;-;-;-;-;-;-
;1977;-;-;-;-;-;-;-
Khénifra;1971;-;-;-;-;-;-;-
;1972;-;-;-;-;-;-;-
;1973;-;-;-;-;-;-;-
;1976;-;-;-;-;-;-;-
;1977;-;-;-;-;-;-;-
Meknes;1971;-;-;-;-;-;-;-
;1972;-;-;-;-;-;-;-
;1973;-;-;-;-;-;-;-
;1976;-;-;-;-;-;-;-
;1977;-;-;-;-;-;-;-
Boulemane;1971;-;-;-;-;-;-;-
;1972;-;-;-;-;-;-;-
;1973;-;-;-;-;-;-;-
;1976;-;-;-;-;-;-;-
;1977;-;-;-;-;-;-;-
Fès;1971;-;29;-;-;-;-;-
;1972;-;43,3;-;-;-;-;-
;1973;-;60,1;-;-;-;-;-
;1976;-;56,4;-;-;-;-;-
;1977;-;49,8;-;-;-;-;-
Alhoceima;1971;-;-;-;-;-;-;-
;1972;-;-;-;-;-;-;-
;1973;-;-;-;-;-;-;-
;1976;-;-;-;-;-;-;-
;1977;-;-;-;-;-;-;-
Taounat;1971;-;-;-;-;-;-;-
;1972;-;-;-;-;-;-;-
;1973;-;-;-;-;-;-;-
;1976;-;-;-;-;-;-;-
;1977;-;-;-;-;-;-;-
Taza;1971;-;15,1;-;-;-;4,7;-
;1972;-;20,2;-;-;-;7,5;-
;1973;-;18,9;-;-;-;6,7;-
;1976;-;13,9;-;-;-;8;-
;1977;-;14,9;-;-;-;-;-
Chefchaouen;1971;-;-;-;-;-;-;-
;1972;-;-;-;-;-;-;-
;1973;-;-;-;-;-;-;-
;1976;-;-;-;-;-;-;-
;1977;-;-;-;-;-;-;-
Larache;1971;-;-;-;-;-;-;-
;1972;-;-;-;-;-;-;-
;1973;-;-;-;-;-;-;-
;1976;-;-;-;-;-;-;-
;1977;-;-;-;-;-;-;-
Tanger-Asilah;1971;-;-;-;-;-;-;-
;1972;-;-;-;-;-;-;-
;1973;-;-;-;-;-;-;-
;1976;-;-;-;-;-;-;-
;1977;-;-;-;-;-;-;-
