;;;;;;;;;
;;;;;;;;;
Périodes;Total;Blé dur;Blé tendre;Orge;Mais;Alpiste;Avoine;Sorgho;Riz
;;;;;;;;;
1971;4652;1517;489;1998;453;38;19;83;1
1972;4577,3;1503,5;494,9;1932,8;480,9;25;24,2;65,8;3,1
1973;4680,8;1477,6;561,7;2016,3;446,4;20,8;20,2;53,5;2,7
1974;4543,7;1388;528,5;1972,6;447,3;23,6;19,9;70,5;3,8
1975;4169,5;1238;453,1;1819,1;491,7;22;32,3;58,4;6,2
1976;4687,4;1454,1;467,5;2117,5;431,8;74,6;30,7;48,7;5,3
1977;4832,5;1392,4;537;2316,2;424,5;35,2;27,4;40,7;6,2
1978;4705,6;1297,1;456,5;2388,6;394,4;33,4;25,7;31,8;2,3
1979;4385,3;1166,9;489,5;2177;415,5;13,5;14,8;62,5;5,7
1980;4418,3;1269;445,3;2149,8;411,4;10,7;28,7;39,3;5,9
1981;4382,4;1165,6;481,4;2228,1;361,5;7,5;52,2;32,1;5,2
1982;4280,5;1106,7;579,1;2046,5;400,1;10,1;68,6;34,9;1
1983;4703;1285,9;689,8;2150,8;434,8;8,7;49,2;39,3;1,7
1984;4477,6;1122,5;733,3;2126;383,6;4,3;54,7;32,6;1,8
1985;4779,2;1115,5;777,8;2382,6;401,2;5,8;46,5;37,2;0,6
1986;5165,7;1191,8;1034,4;2471,8;375;5,6;53;23,4;4,5
1987;5055,8;1110,2;1178;2314,5;368,4;0,6;46,7;23,4;8,9
1988;5301,6;1104,6;1211,8;2499,2;396,4;0,3;53,6;23;7,5
1989;5513,1;1169,8;1459,7;2398,9;405,5;0,3;54,3;20,2;0,7
1990;5593,3;1249,6;1469,6;2414,9;375,6;0,3;42,6;28,4;0,8
1991;5490,8;1244,8;1396,5;2356,9;385,1;-;54;32,6;6,4
1992;5012,5;1088,3;1140;2232,9;453,6;-;42,6;32,1;7,2
1993;5020;1133,7;1176,7;2150,8;447,1;-;54;27,5;10,7
1994;6073,6;1335,8;1713,9;2582,4;323,6;-;68,8;29,2;10,7
1995;3985,6;820,2;1147,7;1578,5;387,4;-;20,5;29,2;0,7
1996;5981,1;1248,9;1963,5;2430,3;253,5;-;36;36,3;9,2
1997;4905,7;972,1;1520,8;1996;340,9;-;37,6;22,5;8,6
1998;5896,9;1126,7;1959,8;2426;309,5;-;34,3;31,8;3,7
1999;5163,8;1077,8;1613,8;2069,8;331;-;29,9;29,2;7,7
2000;5435,8;1079,1;1822,5;2250,9;237,5;-;19,5;16,1;5,6
2001;5138,4;976,7;1723,9;2126;254,2;-;27,4;16,8;7,5
2002;4941,7;881,7;1744,7;2002,4;265,4;-;20;16,3;6,4
2003;5554,2;1092,9;1896;2266,5;246,7;-;22,4;19,6;3,4
2004;5679,5;1110,5;1953,2;2324,1;244,9;-;19,5;18;4,4
2005;5451.8;1059.1;1906.7;2179.8;246.2;-;26.3;20.4;6.3
2006;5583.9;1069;2037.7;2188.7;243.8;-;17.9;15.7;5
2007;4845.1;843.1;1728.8;1993.4;228.3;-;22.4;18.8;4.5
2008;5309.3;928.3;1929.8;2181.3;219.3;-;23.1;13.9;6.4
2009;5435.4;968.6;2009;2182.8;223.5;-;25.6;12.3;7.8
2010;5056.2;901.1;1951.4;1919.5;230.1;-;29.6;8.7;7.4
2011;5375.9;957.2;2131;2025.9;191.9;-;54.2;9.9;2.6
2012;5216.8;963.4;2179.4;1893.1;118;-;47.4;6.1;9.2
2013;5391.3;944.9;2259.3;1967.1;178.1;-;32.3;4.6;5
2014;4764;904.7;2081.4;1585.2;137.4;-;41.8;4.8;4.4
2015;5457.4;998.5;2275.3;2000.2;125.2;-;36.9;5.1;8.3
2016;3795.5;837.8;1575.8;1207.6;138.8;-;24.8;2;7.5
2017;5559.8;1087.8;2296.4;2001.5;130.7;-;29.8;4.1;8
2018;4659;996.6;1891.5;1598.7;148.2;-;12.3;3.7;8.1
2019;3645.2;818.7;1687.3;1050.2;63.3;-;13.1;4.3;8
2020;-;993.3;1852;1495.2;71;-;-;-;-
